goos: darwin
goarch: arm64
pkg: github.com/olekukonko/tablewriter/pkg/twwarp
cpu: Apple M2
BenchmarkWidthFunction/LongASCIIWithANSI_EAtrue_CacheMiss-8          	   38518	     29656 ns/op	  69.13 MB/s	    3070 B/op	       6 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAtrue_CacheMiss-8          	 1000000	     59393 ns/op	  34.52 MB/s	    3836 B/op	      10 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAtrue_CacheMiss-8          	 1861424	     28633 ns/op	  71.60 MB/s	    3025 B/op	       6 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAtrue_CacheMiss-8          	 1797169	       821.6 ns/op	2495.09 MB/s	    2311 B/op	       1 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAtrue_CacheMiss-8          	 2606772	     18936 ns/op	 108.26 MB/s	    2739 B/op	       4 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAtrue_CacheMiss-8          	  902761	      1196 ns/op	1713.49 MB/s	    2311 B/op	       1 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAtrue_CacheHit-8           	26358756	        44.18 ns/op	46401.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAtrue_CacheHit-8           	27124262	        44.24 ns/op	46334.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAtrue_CacheHit-8           	27062631	        44.51 ns/op	46057.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAtrue_CacheHit-8           	27164455	        44.43 ns/op	46138.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAtrue_CacheHit-8           	27190280	        46.32 ns/op	44261.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/LongASCIIWithANSI_EAtrue_CacheHit-8           	24492231	        45.31 ns/op	45240.69 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_NoCache-8                 	 3041793	       393.8 ns/op	  88.87 MB/s	     113 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_NoCache-8                 	 3048720	       396.0 ns/op	  88.39 MB/s	     113 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_NoCache-8                 	 3066690	       391.7 ns/op	  89.35 MB/s	     113 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_NoCache-8                 	 3041558	       392.8 ns/op	  89.09 MB/s	     113 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_NoCache-8                 	 3059708	       392.4 ns/op	  89.20 MB/s	     113 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_NoCache-8                 	 3058185	       391.4 ns/op	  89.42 MB/s	     113 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheMiss-8               	 3223472	       461.4 ns/op	  75.86 MB/s	     162 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheMiss-8               	 5527352	       444.1 ns/op	  78.80 MB/s	     163 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheMiss-8               	 6289131	       269.8 ns/op	 129.72 MB/s	      69 B/op	       2 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheMiss-8               	 6303964	       211.6 ns/op	 165.39 MB/s	      56 B/op	       2 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheMiss-8               	 6297343	       210.5 ns/op	 166.25 MB/s	      55 B/op	       1 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheMiss-8               	 6192850	       209.4 ns/op	 167.11 MB/s	      55 B/op	       1 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheHit-8                	81312061	        14.72 ns/op	2377.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheHit-8                	78921837	        14.72 ns/op	2377.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheHit-8                	81635895	        14.68 ns/op	2383.89 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheHit-8                	81198582	        14.71 ns/op	2378.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheHit-8                	81923374	        15.19 ns/op	2304.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAfalse_CacheHit-8                	68764459	        15.19 ns/op	2303.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_NoCache-8                  	 1717062	       692.6 ns/op	  50.54 MB/s	     113 B/op	       3 allocs/op
BenchmarkWidthFunction/SimpleASCII_EAtrue_NoCache-8                  	 1702892	       685.3 ns/op	  51.08 MB/s	     113 B/op	       3 allocs/op
